Experiment parameters,,,,
parameter,value,,,
title,Seddelgjenkjenning: Brukertest,,,
experiment type,Category Judgement,,,
delay between stimuli switching,200ms,,,
Background colour,#808080,,,
Stimuli spacing,15px,,,
Same pair twice (flipped),no,,,
Show original,no,,,
,,,,
Image sets,,,,
set name,file name,,,
Upscaled - riktig,Upscale_00001_.png,,,
Upscaled - riktig,Upscale_00002_.png,,,
Upscaled - riktig,Upscale_00004_.png,,,
Upscaled - riktig,Upscale_00008_.png,,,
Upscaled - riktig,VeryGoodExample.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00323_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00021_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00024_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00025_.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00173_.png,,,
3264,8171,New-dataset_batch_00173_.png,Trolig falsk,3
3264,8171,Lora-test_00004_.png,Trolig falsk,6
3264,8171,Lora-test_00003_.png,Trolig falsk,8
3264,8171,VeryGoodExample.png,Trolig ekte,4
3264,8171,s-l120016_2.png,Trolig ekte,5
3264,8171,Lora-test_00002_.png,Trolig falsk,3
3264,8171,Prompt-&-parameter-testing_00025_.png,Trolig falsk,3
3264,8171,Upscale_00002_.png,Usikker,4
3264,8171,367641-alexfas01.png,Usikker,9
3264,8171,Prompt-&-parameter-testing_00021_.png,Trolig falsk,6
3264,8171,generated_187.png,Usikker,8
3264,8171,Prompt-&-parameter-testing_00024_.png,Trolig falsk,5
3264,8171,Upscale_00004_.png,Trolig ekte,5
3264,8171,generated_88.png,Trolig falsk,4
3264,8171,Lora-test_00005_.png,Trolig falsk,6
3265,8172,generated_49.png,Trolig falsk,10
3265,8172,Lora-test_00001_.png,Trolig ekte,7
3265,8172,Lora-test_00003_.png,Trolig falsk,4
3265,8172,s-l120016_2.png,Helt sikker ekte,4
3265,8172,Upscale_00008_.png,Trolig falsk,10
3265,8172,New-dataset_batch_00323_.png,Helt sikker falsk,3
3265,8172,VeryGoodExample.png,Helt sikker falsk,8
3265,8172,generated_88.png,Usikker,4
3265,8172,Upscale_00001_.png,Trolig ekte,11
3265,8172,New-dataset_batch_00173_.png,Usikker,4
